term	estimate	cluster_robust_se	p_value	ci_low	ci_high
Intercept	4.349999999999997	0.22267515581004488	5.514750500534027e-85	3.913564714360464	4.78643528563953
C(member_database)[T.Pfam]	-9.982758620689655	0.48987113086497835	2.6035530885095067e-92	-10.94288839425092	-9.02262884712839
C(member_database)[T.ProSiteProfiles]	-6.655172413793094	0.3622520723684595	2.2152579996786247e-75	-7.365173428960272	-5.9451713986259165
C(member_database)[T.SMART]	-9.870689655172406	0.13932967075248923	0.0	-10.143770791825109	-9.597608518519703
C(member_database)[T.SUPERFAMILY]	-5.275862068965515	0.13818479211111595	0.0	-5.546699284714457	-5.0050248532165735
C(isoform)[T.IIIc]	-1.9758620689655175	0.3863795780111023	3.1576683816284753e-07	-2.7331521262290623	-1.2185720117019727
