comparable_boundary_group_id	n_species_observed	mapping_coverage	exact_near_proportion	raw_signed_distances	cross_species_difference	distance_range	dominant_class	domain_annotation_availability	mapping_confidence_distribution
CBG24	0.5	0.5		{'species_id': 'pan_troglodytes', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': 85, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[85, 85]	inside_domain		"{""min"": 0.5, ""max"": 0.5}"
CBG25	0.5	0.5		{'species_id': 'pan_troglodytes', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': 122, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[122, 122]	inside_domain		"{""min"": 0.5, ""max"": 0.5}"
CBG26	0.5	0.5		{'species_id': 'pan_troglodytes', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -139, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -148, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	9	[-148, -139]	inside_domain		"{""min"": 0.5, ""max"": 0.5}"
CBG27	0.5	0.5		{'species_id': 'pan_troglodytes', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -98, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -107, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	9	[-107, -98]	inside_domain		"{""min"": 0.5, ""max"": 0.5}"
CBG28	0.5	0.5		{'species_id': 'pan_troglodytes', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -74, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -83, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	9	[-83, -74]	inside_domain		"{""min"": 0.5, ""max"": 0.5}"
CBG29	0.533	0.533		{'species_id': 'pan_troglodytes', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gorilla_gorilla_gorilla', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': -28, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	9	[-37, -28]	inside_domain		"{""min"": 0.533, ""max"": 0.533}"
CBG30	0.533	0.533		{'species_id': 'pan_troglodytes', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'macaca_mulatta', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'callithrix_jacchus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'rattus_norvegicus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'bos_taurus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'sus_scrofa', 'signed_distance': 7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ovis_aries', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'taeniopygia_guttata', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -2, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}	9	[-2, 7]	near_domain_edge		"{""min"": 0.533, ""max"": 0.533}"
CBG31	0.067	0.067		{'species_id': 'gorilla_gorilla_gorilla', 'signed_distance': -20, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': -9, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	11	[-20, -9]	outside_annotated_domains		"{""min"": 0.067, ""max"": 0.067}"
CBG35	0.067	0.067		{'species_id': 'gorilla_gorilla_gorilla', 'signed_distance': 31, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'meleagris_gallopavo', 'signed_distance': 33, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	2	[31, 33]	inside_domain		"{""min"": 0.067, ""max"": 0.067}"
CBG38	0.1	0.1		{'species_id': 'gorilla_gorilla_gorilla', 'signed_distance': 4, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 5, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'xenopus_tropicalis', 'signed_distance': 6, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	2	[4, 6]	near_domain_edge		"{""min"": 0.1, ""max"": 0.1}"
CBG42	0.1	0.1		{'species_id': 'pongo_abelii', 'signed_distance': 16, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': 3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': 3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}	13	[3, 16]	near_domain_edge		"{""min"": 0.1, ""max"": 0.1}"
CBG43	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -10, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	3	[-10, -7]	outside_annotated_domains		"{""min"": 0.133, ""max"": 0.133}"
CBG44	0.167	0.167		{'species_id': 'pongo_abelii', 'signed_distance': 43, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': 43, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'xenopus_tropicalis', 'signed_distance': 43, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': 43, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': 40, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	3	[40, 43]	inside_domain		"{""min"": 0.167, ""max"": 0.167}"
CBG45	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': 84, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': 84, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': 84, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': 81, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	3	[81, 84]	inside_domain		"{""min"": 0.133, ""max"": 0.133}"
CBG46	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': 121, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': 121, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': 121, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': 118, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	3	[118, 121]	inside_domain		"{""min"": 0.133, ""max"": 0.133}"
CBG47	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': -149, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -149, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -149, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -149, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-149, -149]	inside_domain		"{""min"": 0.133, ""max"": 0.133}"
CBG48	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': -108, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -108, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -108, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -108, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-108, -108]	inside_domain		"{""min"": 0.133, ""max"": 0.133}"
CBG49	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': -84, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -84, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -84, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -84, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-84, -84]	inside_domain		"{""min"": 0.133, ""max"": 0.133}"
CBG50	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': -38, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -38, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -38, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -38, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-38, -38]	inside_domain		"{""min"": 0.133, ""max"": 0.133}"
CBG51	0.133	0.133		{'species_id': 'pongo_abelii', 'signed_distance': -3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oreochromis_niloticus', 'signed_distance': -3, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}		[-3, -3]	near_domain_edge		"{""min"": 0.133, ""max"": 0.133}"
CBG52	0.333	0.333		{'species_id': 'macaca_mulatta', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'oryctolagus_cuniculus', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'felis_catus', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'equus_caballus', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'monodelphis_domestica', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ornithorhynchus_anatinus', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'gallus_gallus', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'alligator_mississippiensis', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'ambystoma_mexicanum', 'signed_distance': -7, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}		[-7, -7]	outside_annotated_domains		"{""min"": 0.333, ""max"": 0.333}"
CBG62	0.067	0.067		{'species_id': 'mus_musculus', 'signed_distance': -117, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'xenopus_tropicalis', 'signed_distance': -116, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	1	[-117, -116]	inside_domain		"{""min"": 0.067, ""max"": 0.067}"
CBG72	0.067	0.067		{'species_id': 'taeniopygia_guttata', 'signed_distance': -94, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'anolis_carolinensis', 'signed_distance': -95, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	1	[-95, -94]	outside_annotated_domains		"{""min"": 0.067, ""max"": 0.067}"
CBG74	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': 14, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': 1, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}	13	[1, 14]	near_domain_edge		"{""min"": 0.1, ""max"": 0.1}"
CBG75	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': 41, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': 37, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': 39, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	4	[37, 41]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG76	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': 82, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': 78, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': 80, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	4	[78, 82]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG77	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': 119, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': 115, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': 117, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	4	[115, 119]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG78	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -151, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -151, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -151, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-151, -151]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG79	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -110, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -110, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -110, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-110, -110]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG80	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -86, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -86, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -86, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-86, -86]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG81	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -40, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -40, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -40, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}		[-40, -40]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG82	0.1	0.1		{'species_id': 'chrysemys_picta_bellii', 'signed_distance': -5, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'danio_rerio', 'signed_distance': -5, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True},{'species_id': 'oryzias_latipes', 'signed_distance': -5, 'boundary_class': 'near_domain_edge', 'domain_annotation_available': True}		[-5, -5]	near_domain_edge		"{""min"": 0.1, ""max"": 0.1}"
CBG84	0.067	0.067		{'species_id': 'xenopus_tropicalis', 'signed_distance': 19, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'mus_musculus', 'signed_distance': 27, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	8	[19, 27]	inside_domain		"{""min"": 0.067, ""max"": 0.067}"
CBG91	0.1	0.1		{'species_id': 'xenopus_tropicalis', 'signed_distance': -162, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'gorilla_gorilla_gorilla', 'signed_distance': -161, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'meleagris_gallopavo', 'signed_distance': -113, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	49	[-162, -113]	inside_domain		"{""min"": 0.1, ""max"": 0.1}"
CBG97	0.067	0.067		{'species_id': 'gasterosteus_aculeatus', 'signed_distance': 8, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True},{'species_id': 'xenopus_tropicalis', 'signed_distance': -6, 'boundary_class': 'outside_annotated_domains', 'domain_annotation_available': True}	14	[-6, 8]	outside_annotated_domains		"{""min"": 0.067, ""max"": 0.067}"
CBG101	0.067	0.067		{'species_id': 'gasterosteus_aculeatus', 'signed_distance': -12, 'boundary_class': 'inside_domain', 'domain_annotation_available': True},{'species_id': 'xenopus_tropicalis', 'signed_distance': -11, 'boundary_class': 'inside_domain', 'domain_annotation_available': True}	1	[-12, -11]	inside_domain		"{""min"": 0.067, ""max"": 0.067}"
