species	isoform	display_species_name	taxon_group	final_claim_status_after_rescue	visual_review_flag	label_reconciliation	label_reconciliation_raw	rescue_status	rescue_status_raw	orthology_status	orthology_status_raw	coordinate_validation_status	coordinate_validation_status_raw	MSA_full_length_status	MSA_full_length_status_raw	boundary_robustness_class	boundary_robustness_class_raw	reference_agreement	reference_agreement_raw	synteny_validation_class	synteny_validation_class_raw	pre_interpro_readiness_class	pre_interpro_readiness_class_raw
danio_rerio	IIIb	Danio rerio	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	minor	0.7826	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
danio_rerio	IIIc	Danio rerio	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_supported_with_warnings	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	pass	0.9375	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
oryzias_latipes	IIIb	Oryzias latipes	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	minor	0.8478	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
oryzias_latipes	IIIc	Oryzias latipes	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_supported_with_warnings	pass	same_native_coordinate	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	pass	0.9375	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
gasterosteus_aculeatus	IIIb	Gasterosteus aculeatus	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	fail	major_native_offset_review	minor	full_length_msa_pass_with_minor_flags	minor	supported_boundary_with_minor_flags	minor	0.8478	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
gasterosteus_aculeatus	IIIc	Gasterosteus aculeatus	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	fail	major_native_offset_review	minor	full_length_msa_pass_with_minor_flags	minor	supported_boundary_with_minor_flags	pass	0.9375	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
oreochromis_niloticus	IIIb	Oreochromis niloticus	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	review	moderate_native_offset_review	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	minor	0.8043	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
oreochromis_niloticus	IIIc	Oreochromis niloticus	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_supported_with_warnings	review	moderate_native_offset_review	pass	full_length_msa_pass	minor	supported_boundary_with_minor_flags	pass	0.9583	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
takifugu_rubripes	IIIb	Takifugu rubripes	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	review	moderate_native_offset_review	pass	full_length_msa_pass	robust	robust_boundary	minor	0.8696	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
takifugu_rubripes	IIIc	Takifugu rubripes	Teleost fish	primary_claim_supported_with_minor_flags	false	review	swapped_relative_to_upstream	rescued_ok	current_candidate_confirmed_after_exhaustive_screen	pass	fgfr2_ortholog_high_confidence	review	moderate_native_offset_review	pass	full_length_msa_pass	robust	robust_boundary	pass	0.9583	minor	synteny_partial_blast_supported	minor	ready_for_interpro_with_minor_flags
